county,total_sas,underserved_sas,very_deprived_sas,total_pop,avg_dep_score,underserved_pop,pct_underserved_sas,cases_all,cases_opioid,cases_per_100k,opioid_per_100k,ndtrs_year
DONEGAL,720,174,43,167084,-3.390324613561272,35748.0,24.2,763.0,30.0,456.7,18.0,2024
CORK,1357,139,16,360152,1.8610983025183951,32596.0,10.2,1608.0,193.0,275.1,33.0,2024
WEXFORD,620,109,35,163919,-1.0657756703304448,27546.0,17.6,913.0,94.0,557.0,57.3,2024
GALWAY,736,87,20,193323,0.8335098229880912,19926.0,11.8,686.0,107.0,247.2,38.6,2024
MAYO,625,96,25,137970,-1.325706709854961,19321.0,15.4,206.0,13.0,149.3,9.4,2024
KERRY,692,71,21,156458,-0.577572345387724,13675.0,10.3,497.0,88.0,317.7,56.2,2024
CAVAN,319,50,29,81704,-2.2121359530276954,11135.0,15.7,192.0,19.0,235.0,23.3,2024
WICKLOW,517,40,19,155851,1.5414207473047197,10718.0,7.7,663.0,82.0,425.4,52.6,2024
SOUTH TIPPERARY,356,50,15,92310,-1.2304632471982595,10388.0,14.0,,,,,2024
OFFALY,296,35,10,83150,-0.3573519362665006,10054.0,11.8,164.0,37.0,197.2,44.5,2024
NORTH TIPPERARY,284,47,14,75585,0.1447755305147451,9936.0,16.5,,,,,2024
LIMERICK,522,41,12,146834,2.054829833605397,9748.0,7.9,963.0,156.0,459.5,74.4,2024
MONAGHAN,241,37,26,65288,-2.2180301087976364,8544.0,15.4,129.0,6.0,197.6,9.2,2024
CLARE,502,35,8,127938,1.2540458887140455,7943.0,7.0,301.0,29.0,235.3,22.7,2024
ROSCOMMON,301,22,13,70259,-0.1924420174773024,5099.0,7.3,197.0,30.0,280.4,42.7,2024
MEATH,679,16,16,220826,2.4102423621339546,4748.0,2.4,460.0,48.0,208.3,21.7,2024
FINGAL,1035,12,24,330506,2.6163448715345723,4126.0,1.2,,,,,2024
LOUTH,481,12,51,139703,-1.522725883515338,3751.0,2.5,535.0,62.0,383.0,44.4,2024
SLIGO,310,18,15,70198,-0.5051293649531287,3646.0,5.8,263.0,17.0,374.7,24.2,2024
KILDARE,807,13,22,247774,2.4754670731559445,3418.0,1.6,643.0,86.0,259.5,34.7,2024
LEITRIM,163,18,9,35199,-1.9029732388674483,3227.0,11.0,105.0,0.0,298.3,0.0,2024
LONGFORD,177,12,22,46751,-3.240895286292757,3141.0,6.8,121.0,28.0,258.8,59.9,2024
WATERFORD,277,13,5,73050,1.4286696460494444,2942.0,4.7,932.0,109.0,731.8,85.6,2024
KILKENNY,370,11,9,104160,1.0553187010683336,2885.0,3.0,370.0,44.0,355.2,42.2,2024
WESTMEATH,341,9,25,96221,-0.2972313867570448,2613.0,2.6,227.0,97.0,235.9,100.8,2024
CARLOW,213,6,9,61968,-0.9058058145827012,1891.0,2.8,270.0,39.0,435.7,62.9,2024
LAOIS,315,7,3,91877,0.6628864691127779,1512.0,2.2,317.0,88.0,345.0,95.8,2024
SOUTH DUBLIN,976,0,70,301075,1.1265994593730235,0.0,0.0,,,,,2024
GALWAY CITY,309,0,14,84414,-2.133744915794207,0.0,0.0,,,,,2024
DUN LAOGHAIRE/RATHDOWN,804,0,10,233860,4.791379557114453,0.0,0.0,,,,,2024
WATERFORD CITY,206,0,45,54313,-5.13651289452624,0.0,0.0,,,,,2024
DUBLIN CITY,2261,0,194,592713,-2.8311239627222897,0.0,0.0,,,,,2024
CORK CITY,849,0,57,224004,-0.6020317373390837,0.0,0.0,,,,,2024
LIMERICK CITY,258,0,40,62702,-4.260687459709504,0.0,0.0,,,,,2024
